"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sauce Labs Demo App - Products Catalog and Sorting","0","Products Catalog listing and Sorting","7","0","Sorting","0"
"0","Sauce Labs Demo App","0","Login","2","0","Valid login","0"
"0","Sauce Labs Demo App","0","Login","2","0","Field validation","0"
"0","Sauce Labs Demo App","0","Login","1","0","Locked user","0"
"0","Sauce Labs Demo App","0","Login","1","0","Logout","0"
"0","Sauce Labs Demo App - Products Catalog and Sorting","0","Products Catalog listing and Sorting","2","0","Scrolling","0"
