"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66172","User can scroll back to the top of the product list","Mobilytix Suite","Tue Apr 28 16:01:42 UTC 2026","passed","Tue Apr 28 16:02:48 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testUserCanScrollBackToTopOfProductList"
"","12572","Locked user is blocked from logging in","Mobilytix Suite","Tue Apr 28 15:58:40 UTC 2026","passed","Tue Apr 28 15:58:53 UTC 2026","io.mobilytix.tests.sauce_demo.LoginTest","App A Tests","io.mobilytix.tests.sauce_demo.LoginTest","testLockedUserIsBlocked"
"","5919","First product changes when switching from name ascending to name descending","Mobilytix Suite","Tue Apr 28 15:59:27 UTC 2026","passed","Tue Apr 28 15:59:33 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testFirstProductChangesWhenSortOrderIsReversed"
"","2548","Products are sorted alphabetically Z to A when sorted by name descending","Mobilytix Suite","Tue Apr 28 16:00:01 UTC 2026","passed","Tue Apr 28 16:00:03 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testProductsAreSortedAlphabeticallyZToAWhenSortByNameDescending"
"","5792","First product price changes when switching from price ascending to price descending","Mobilytix Suite","Tue Apr 28 15:59:41 UTC 2026","passed","Tue Apr 28 15:59:47 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testFirstProductPriceChangesWhenSortOrderIsReversed"
"","3497","Products are sorted highest to lowest price when sorted by price descending","Mobilytix Suite","Tue Apr 28 16:00:09 UTC 2026","passed","Tue Apr 28 16:00:12 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testProductsAreSortedHighestToLowestPriceWhenSortedByPriceDescending"
"","8160","Valid user shortcut auto-populates and logs in","Mobilytix Suite","Tue Apr 28 15:58:16 UTC 2026","passed","Tue Apr 28 15:58:24 UTC 2026","io.mobilytix.tests.sauce_demo.LoginTest","App A Tests","io.mobilytix.tests.sauce_demo.LoginTest","testValidUserShortcut"
"","3118","Products are sorted alphabetically A to Z when sorted by name ascending","Mobilytix Suite","Tue Apr 28 15:59:52 UTC 2026","passed","Tue Apr 28 15:59:55 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testProductsAreSortedAlphabeticallyAToZWhenSortByNameAscending"
"","19842","Logged in user can log out successfully","Mobilytix Suite","Tue Apr 28 15:58:53 UTC 2026","passed","Tue Apr 28 15:59:13 UTC 2026","io.mobilytix.tests.sauce_demo.LoginTest","App A Tests","io.mobilytix.tests.sauce_demo.LoginTest","testLogoutFlow"
"","71420","Sort order is preserved after scrolling down and back up","Mobilytix Suite","Tue Apr 28 16:00:26 UTC 2026","passed","Tue Apr 28 16:01:37 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testSortOrderIsPreservedAfterScrolling"
"","8245","Empty username shows validation error","Mobilytix Suite","Tue Apr 28 15:58:24 UTC 2026","passed","Tue Apr 28 15:58:32 UTC 2026","io.mobilytix.tests.sauce_demo.LoginTest","App A Tests","io.mobilytix.tests.sauce_demo.LoginTest","testEmptyUsernameShowsError"
"","23015","Valid user can log in successfully","Mobilytix Suite","Tue Apr 28 15:57:52 UTC 2026","passed","Tue Apr 28 15:58:16 UTC 2026","io.mobilytix.tests.sauce_demo.LoginTest","App A Tests","io.mobilytix.tests.sauce_demo.LoginTest","testValidLogin"
"","44322","User can scroll to the bottom of the product list","Mobilytix Suite","Tue Apr 28 16:02:53 UTC 2026","passed","Tue Apr 28 16:03:37 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testUserCanScrollToBottomOfProductList"
"","2608","Products are sorted lowest to highest price when sorted by price ascending","Mobilytix Suite","Tue Apr 28 16:00:18 UTC 2026","passed","Tue Apr 28 16:00:20 UTC 2026","io.mobilytix.tests.sauce_demo.CatalogTest","App A Tests","io.mobilytix.tests.sauce_demo.CatalogTest","testProductsAreSortedLowestToHighestPriceWhenSortedByPriceAscending"
"","8040","Empty password shows validation error","Mobilytix Suite","Tue Apr 28 15:58:32 UTC 2026","passed","Tue Apr 28 15:58:40 UTC 2026","io.mobilytix.tests.sauce_demo.LoginTest","App A Tests","io.mobilytix.tests.sauce_demo.LoginTest","testEmptyPasswordShowsError"
